TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20040101,2.956,33.083,133.887,2.359,69.48202083,47.1574375,378.663,11.4667,-40.8372,0.171378,1,1.26456,1.09466
20040102,5.587,39.549,134.512,3.261,83.27177083,54.8499375,376.703,14.8073,-86.1004,-0.187438,1,1.45121,1.64224
20040103,2.528,90.248,135.195,3.241,166.8852708,40.8466875,378.447,19.3343,-25.488,-1.21813,0.9375,1.23536,2.43579
20040104,1.594,91.305,135.937,3.681,168.3742917,41.74658333,383.806,18.0582,-15.3366,-1.23633,0.895833,1.1748,2.40696
20040105,5.712,91.801,136.738,4.373,166.778,41.58908333,379.088,22.3174,-19.5649,-1.42998,0.854167,1.46275,2.89387
20040106,2.058,71.447,137.597,2.009,137.9797708,71.65829167,385.732,14.437,-16.6274,-0.804335,0.958333,1.20778,2.01097
20040107,2.019,70.946,138.515,1.162,136.6974583,78.55291667,389.755,12.7625,-9.62326,-0.825884,0.75,1.20728,2.03099
20040108,3.516,49.668,139.491,1.214,101.7365625,75.010625,390.273,15.2645,-16.7389,-0.43867,0.395833,1.30655,1.74344
20040109,9.809,32.157,140.523,2.873,64.88985417,46.20339583,386.072,22.5434,-52.3959,-0.0237007,0.979167,1.76324,1.78139
20040110,10.318,72.221,141.615,2.663,145.200125,149.9180417,385.439,18.0922,-21.9647,-0.534694,0.9375,1.80167,2.33938
20040111,13.6,42.385,142.763,3.79,85.325625,65.29408333,377.497,14.6894,-39.6934,-0.000915134,1,2.05988,2.06181
20040112,11.765,30.999,143.967,3.622,69.05941667,60.21279167,381.095,11.7236,-46.4242,0.0518976,1,1.97422,1.92347
20040113,14.755,73.487,145.228,5.702,139.9936875,115.1836667,376.665,25.8921,-47.7971,-0.626695,1,2.26109,2.88302
20040114,10.741,19.093,146.545,4.395,41.9884375,39.3499375,385.294,23.8833,-70.2293,0.859219,1,1.93209,1.08429
20040115,6.165,70.737,147.918,3.967,136.5142917,-9999,393.985,25.2559,-45.1733,-0.923071,1,1.56345,2.48652
20040116,4.137,61.077,149.345,1.838,122.2703958,-9999,401.246,9.85468,-14.3255,-1.3292,0.979167,1.39945,2.72847
20040117,7.597,35.611,150.828,2.188,72.04904167,-9999,389.25,20.7074,-57.3762,-0.615933,1,1.62131,2.31492
20040118,5.521,46.767,152.364,3.84,95.29183333,-9999,397.037,32.464,-81.1375,-0.737237,1,1.43491,2.17215
20040119,4.717,103.098,153.955,5.342,185.60925,-9999,398.304,36.3584,-25.0741,-1.16661,1,1.34802,2.51463
20040120,7.185,41.143,155.598,3.422,87.96208333,-9999,392.704,16.3761,-50.5909,-0.827244,1,1.49081,2.31818
20040121,10.116,105.509,157.294,4.616,179.939617,-9999,389.53,25.3155,-15.0681,-1.66143,1,1.68991,3.35134
20040122,9.796,97.139,159.042,4.761,179.5497708,-9999,389.38,24.4824,-26.3344,-1.42362,1,1.66339,3.087
20040123,6.092,36.578,160.842,1.259,82.04514583,-9999,394.678,6.84492,-6.32012,-0.359992,1,1.40247,1.76858
20040124,5.682,26.446,162.692,0.836,72.17514583,-9999,402.512,4.28756,-21.9275,0.00601701,1,1.37511,1.37457
20040125,6.171,73.606,164.593,4.188,146.6389583,-9999,389.25,25.5265,-30.3539,-1.36353,1,1.40865,2.77816
20040126,2.409,15.618,166.542,0.759,42.66608333,-9999,397.673,6.5786,-44.5611,0.806643,1,1.15935,0.364212
20040127,4.054,65.574,168.541,3.3,132.7900417,-9999,395.13,22.4452,-29.1366,-1.1281,1,1.26617,2.40022
20040128,2.709,79.363,170.587,2.863,154.4699167,-9999,397.391,19.8519,-36.7361,-1.13172,1,1.17808,2.3712
20040129,2.634,118.041,172.68,3.445,221.65475,-9999,395.833,38.4857,-21.8606,-0.911007,1,1.18865,2.10063
20040130,0.231,106.328,174.819,2.868,197.491875,-9999,401.003,14.6097,25.8181,-1.26871,1,1.05977,2.33162
20040131,6.192,8.658,177.005,0.121,29.94252083,-9999,392.041,1.68084,-11.2152,0.929529,1,1.47112,0.564582
20040201,8.918,105.344,179.235,1.529,211.4792917,-9999,381.804,17.7781,11.1039,-2.06467,0.958333,1.68313,3.74157
20040202,5.689,114.247,181.508,0.278,203.9982917,-9999,390.404,9.37928,21.2054,-1.96109,0.9375,1.46128,3.11498
20040203,4.604,126.103,183.824,0.642,215.2416667,-9999,395.671,20.8452,16.152,-2.14254,0.979167,1.39795,3.50467
20040204,3.646,46.504,186.183,0.051,91.395875,-9999,397.106,4.16339,1.29093,-0.116968,1,1.33826,1.48161
20040205,5.34,62.121,188.583,0.349,120.3187292,-9999,390.645,8.87847,14.0112,-0.55222,0.979167,1.47273,2.03889
20040206,3.475,28.012,191.022,0.047,58.27491667,-9999,399.303,3.33235,2.53809,0.430662,0.895833,1.3504,0.936424
20040207,8.534,96.04,193.5,2.813,167.84575,-9999,387.217,20.0191,-13.7202,-1.83508,1,1.74384,3.59391
20040208,7.579,114.81,196.017,4.352,218.27875,78.86256522,385.775,35.0112,-16.8654,-1.51867,1,1.67501,3.19916
20040209,8.093,139.582,198.571,6.235,258.6208542,50.80920833,383.405,38.8058,-9.42078,-1.44907,1,1.68973,3.20751
20040210,6.426,136.265,201.161,5.746,250.2315833,68.85404167,386.083,22.3211,21.0136,-1.70114,0.729167,1.56713,3.30752
20040211,8.117,116.911,203.786,6.443,220.5122292,117.4415,389.248,33.7907,-15.3363,-1.86808,0.729167,1.70949,3.64062
20040212,10.725,142.754,206.444,7.252,267.5777917,111.8329792,386.549,36.1493,-8.90646,-1.75483,1,1.91436,3.67845
20040213,7.004,143.221,209.136,3.996,271.6302917,169.3215417,396.36,26.0122,15.8464,-1.95288,0.9375,1.63735,3.64891
20040214,5.318,119.006,211.859,1.871,231.0886667,-9999,402.734,20.8151,13.8417,-1.87737,0.9375,1.54568,3.49961
20040215,8.627,148.561,214.613,4.586,282.049,-9999,389.682,41.313,-15.7823,-1.29574,1,1.85639,3.1927
20040216,6.058,88.242,217.397,3.438,179.2115833,-9999,392.487,24.3121,-3.64191,-1.76982,0.979167,1.6793,3.60439
20040217,6.619,70.444,220.209,3.828,144.89825,-9999,391.893,18.4831,-9.47317,-0.97182,0.8125,1.72563,2.76196
20040218,5.976,36.7,223.049,3.245,81.85820833,-9999,393.996,12.8256,-19.2394,0.268257,1,1.66946,1.48643
20040219,3.551,123.862,225.914,3.728,240.5190417,-9999,400.089,24.9304,10.2737,-1.71495,0.666667,1.47485,3.3368
20040220,2.711,70.127,228.805,0.927,142.8630833,-9999,402.434,13.4008,8.83204,-0.103925,0.979167,1.40914,1.55533
20040221,8.232,6.486,231.719,0.205,43.28914583,-9999,390.561,10.0526,-45.4524,1.83354,1,1.85248,0.0774813
20040222,9.57,19.977,234.657,1.339,57.42953846,-9999,386.217,14.0017,-51.1235,1.13917,0.9375,1.96192,0.906492
20040223,6.368,83.986,237.616,3.72,171.6791667,-9999,392.949,21.2681,-4.92211,-1.20792,0.6875,1.69815,2.94015
20040224,3.528,155.589,240.595,4.835,297.00125,-9999,398.04,24.4716,30.4236,-2.3189,0.0208333,1.47037,3.78678
20040225,2.727,64.463,243.593,2.461,144.1711875,137.996375,399.433,13.5018,16.4096,-0.828439,0,1.40426,2.23249
20040226,4.335,81.112,246.61,3.124,171.6930833,143.082875,395.309,16.3555,-2.68183,-0.922857,0,1.52839,2.45423
20040227,1.506,104.092,249.644,3.06,225.7589375,147.1172083,401.353,14.4173,18.0193,-1.69218,0.25,1.30605,2.99855
20040228,2.146,152.912,252.692,3.517,317.806,112.2970417,399.034,18.6808,19.3191,-2.32563,0.104167,1.35433,3.68282
20040229,1.946,179.856,255.757,3.947,368.5512083,83.15575,398.736,21.7964,37.1503,-2.67528,0.25,1.34042,4.01312
20040301,2.243,162.026,258.834,4.329,326.7570417,126.8002917,397.168,21.8764,21.9449,-2.6256,0.395833,1.36142,3.98192
20040302,3.311,178.077,261.924,4.723,361.4563958,98.958125,396.183,25.3694,37.9679,-2.65572,0.625,1.44765,4.10489
20040303,7.838,187.923,265.025,6.811,385.228375,66.15495833,389.385,26.7871,31.7666,-2.5895,0.916667,1.81213,4.41061
20040304,10.402,107.097,268.136,8.213,234.8859792,155.2232917,385.885,26.0844,-12.2748,-1.69326,0.979167,2.01704,3.69675
20040305,12.251,93.639,271.255,5.775,205.546875,144.946625,385.849,22.1179,-9.25843,-1.5702,1,2.16888,3.76408
20040306,8.408,28.324,274.384,1.731,86.60604167,70.83333333,390.149,1.5373,-21.5275,0.556058,1,1.84414,1.33712
20040307,6.689,139.576,277.518,4.284,298.052,129.4493333,390.149,33.2264,-24.1355,-2.31779,1,1.67324,3.99133
20040308,6.548,175.966,280.658,4.904,370.5820417,105.2185,388.585,30.7441,12.0595,-2.28088,1,1.6143,3.89535
20040309,6.558,201.436,283.802,6.005,413.466125,88.29245833,389.41,32.6535,28.0316,-2.53545,1,1.55347,4.09859
20040310,3.058,185.503,286.95,3.154,381.2676458,156.3552292,397.665,19.5231,51.4953,-3.01424,0.979167,1.28553,4.30098
20040311,3.093,203.203,290.1,4.534,419.3558333,93.25195833,394.891,23.9515,64.928,-2.64858,1,1.3306,3.97683
20040312,5.78,1.976,293.252,1.066,-9999,53.37833333,395.383,3.23668,-27.3129,1.00701,0.9375,1.57562,0.542245
20040313,7.404,7.307,296.403,0.281,-9999,14.1268125,390.138,5.06397,-59.4089,1.49955,1,1.75195,0.224796
20040314,8.379,42.335,299.554,0.702,103.9356042,2.268833333,387,8.11585,-28.5586,-0.0430529,0.875,1.89049,1.94807
20040315,10.488,212.309,302.703,4.254,422.9646458,71.55729167,382.542,35.1348,30.2593,-3.33257,0.958333,2.142,5.47731
20040316,11.931,193.493,305.849,5.519,391.7504167,141.4267917,378.466,32.9475,20.4684,-2.78785,1,2.3312,5.11906
20040317,11.86,200.005,308.991,6.089,401.5774792,132.8717083,381.035,33.5356,22.4463,-2.95006,1,2.39181,5.34187
20040318,7.776,65.276,312.129,1.238,148.8538542,133.2641458,388.583,7.43383,-2.60466,-0.591864,0.9375,2.06128,2.65498
20040319,12.592,205.346,315.26,5.973,413.4012292,142.5671875,378.373,37.7055,19.4622,-3.21691,1,2.59467,5.81158
20040320,13.588,158.977,318.385,5.45,343.9793333,199.0782917,375.519,27.394,18.8008,-2.73448,1,2.78423,5.51871
20040321,12.112,154.35,321.502,5.613,330.131875,214.3993958,377.243,23.0684,1.15305,-2.85812,1,2.74461,5.60272
20040322,7.736,170.515,324.61,4.194,360.398125,190.4765,386.276,24.3855,25.0635,-3.16433,1,2.32841,5.49305
20040323,6.171,146.495,327.709,4.299,311.0575625,131.85975,389.937,26.2841,0.723755,-2.2491,1,2.10785,4.35694
20040324,6.405,215.03,330.798,4.83,433.2615319,131.4248125,391.014,28.6662,37.3848,-2.82399,1,2.09987,4.92386
20040325,6.566,215.24,333.875,5.051,449.9834167,197.5013958,390.326,32.1664,48.6101,-3.4366,1,2.0996,5.5362
20040326,6.141,202.802,336.939,4.883,419.532625,177.885625,391.521,32.7889,47.3651,-3.38023,1,2.0443,5.43132
20040327,5.039,241.137,339.991,4.864,495.3642083,120.1923958,392.385,32.0986,67.2035,-3.23284,1,1.92028,5.15752
20040328,7.11,183.019,343.028,4.303,387.5842708,186.2137292,393.24,26.6868,47.1035,-3.17447,1,2.13228,5.30978
20040329,10.258,245.338,346.052,6.55,512.3800417,111.772625,387.817,39.2096,63.1037,-2.44348,0.979167,2.47475,4.94631
20040330,8.053,16.24,349.059,1.388,55.57966667,42.44091667,392.431,1.47412,-34.9305,1.3723,1,2.26604,0.867443
20040331,9.862,30.453,352.05,0.438,88.7180625,70.90945833,388.516,1.76774,-18.0198,0.668872,1,2.47838,1.809
20040401,10.312,114.914,355.024,1.063,275.5367317,177.8358333,386.476,11.6422,25.5325,-1.67406,1,2.54804,4.22142
20040402,9.199,10.312,357.98,0.242,34.13460417,28.8458125,386.474,-0.153924,-27.9412,1.83291,1,2.40041,0.567426
20040403,10.852,253.484,360.917,5.673,524.1020208,101.4864792,382.169,45.1827,38.8921,-3.02519,1,2.52602,5.57095
20040404,14.021,239.232,363.835,7.939,487.4922292,150.6419792,373.167,40.7029,36.1539,-2.52785,1,2.79572,5.3215
20040405,13.492,251.617,366.732,7.45,517.5747292,101.4239792,374.86,47.2187,46.8546,-2.76218,1,2.70595,5.46813
20040406,10.273,120.427,369.609,4.878,264.4816667,147.1399375,381.835,31.3497,-2.49359,-1.92839,1,2.37642,4.30427
20040407,9.207,230.131,372.464,5.913,489.3732292,121.0257917,383.475,46.1704,46.2143,-3.06108,1,2.2654,5.32645
20040408,9.075,256.979,375.297,6.102,536.7094167,182.4239792,381.159,50.5288,81.7458,-4.35862,1,2.24921,6.60783
20040409,8.03,214.032,378.107,5.475,449.2720625,178.6627083,384.718,40.7171,51.1099,-3.43007,1,2.14101,5.57108
20040410,7.599,172.351,380.893,4.827,369.4621667,249.7502083,388.451,34.1508,34.3322,-3.3085,1,2.10998,5.41849
20040411,9.878,175.871,383.656,6.444,371.16475,213.9977083,383.354,39.687,17.3376,-3.26913,1,2.3538,5.62292
20040412,10.35,182.823,386.393,6.059,388.46025,176.2946042,383.519,39.7413,20.6606,-2.68129,1,2.42079,5.10208
20040413,11.707,260.991,389.105,8.374,542.3961042,177.0366875,378.957,52.8888,50.4066,-3.16542,1,2.57621,5.74163
20040414,9.594,131.58,391.79,4.349,283.1780833,175.7838125,381.281,26.1732,25.7304,-1.98265,1,2.37857,4.36122
20040415,8.914,150.143,394.449,2.247,330.3115,210.3285417,388.956,29.0439,34.3778,-2.20538,1,2.32843,4.53381
20040416,8.998,26.046,397.081,1.275,78.29175,82.456875,388.2,3.689,-21.983,0.628239,1,2.35075,1.72251
20040417,11.104,164.024,399.684,3.942,379.5768542,276.954375,382.331,41.4182,18.5122,-2.95779,1,2.5837,5.54149
20040418,9.821,133.282,402.26,4.216,293.5214792,248.9316667,380.777,37.8622,16.6,-2.75822,1,2.45896,5.21718
20040419,8.023,241.552,404.805,3.854,516.1702917,146.304375,388.331,26.7509,75.662,-3.04562,1,2.28144,5.32705
20040420,12.111,171.037,407.322,5.306,377.0501875,194.0810417,382.775,34.6963,25.2435,-2.66568,1,2.72207,5.38774
20040421,14.223,297.848,409.809,6.845,611.8016875,70.91020833,376.451,43.3701,86.1487,-2.06262,0.958333,2.98043,5.03815
20040422,11.996,110.857,412.263,2.636,259.3456667,204.7795833,383.198,22.1359,9.77724,-1.51321,0.979167,2.80183,4.32218
20040423,15.702,158.149,414.689,7.611,341.6557083,215.0614583,375.352,39.341,7.08127,-1.73797,1,3.28737,5.03015
20040424,17.417,274.76,417.082,10.936,553.3549583,132.389375,368.506,45.1296,53.7609,-2.74337,0.958333,3.54866,6.32198
20040425,15.659,305.58,419.442,10.28,613.0554583,95.08791667,369.686,55.585,77.143,-3.03724,0.979167,3.401,6.44244
20040426,13.888,275.799,421.77,6.515,561.7452292,132.9654167,379.391,40.5172,86.8905,-2.9407,1,3.24787,6.21332
20040427,12.809,252.795,424.065,3.883,528.2855,217.160625,386.407,40.242,81.3665,-2.94488,1,3.171,6.16574
20040428,11.52,83.617,426.326,2.774,198.0325208,160.4520833,387.477,24.6455,1.8159,-1.12614,1,3.06266,4.1993
20040429,10.68,9.434,428.554,0.113,28.08316667,11.46291667,396.94,0.474393,-21.4919,2.50953,1,3.00749,0.556938
20040430,9.49,129.161,430.746,2.719,281.1026875,170.4175,386.281,31.6659,0.892587,-1.43021,1,2.90646,4.35472
20040501,9.062,293.897,432.903,3.237,598.053625,166.7214583,391.419,49.33,93.4492,-3.91024,0.9375,2.86961,6.74355
20040502,11.386,71.297,435.026,1.783,163.4284167,140.4275,388.133,25.4036,-0.107774,-1.3089,1,3.14493,4.47507
20040503,11.026,52.685,437.113,1.033,126.3488125,109.1416667,392.442,16.6532,-11.0583,-0.00317035,1,3.09275,3.10611
20040504,12.298,201.776,439.163,3.845,360.2126875,-9999,388.714,46.1104,24.9564,-3.15086,0.979167,3.24803,6.40155
20040505,9.825,221.966,441.176,4.494,415.4976875,-9999,391.475,30.3399,65.757,-3.29888,1,2.93434,6.23643
20040506,9.047,247.599,443.153,4.292,485.59775,-9999,393.856,30.0956,79.3295,-2.67877,1,2.83595,5.51491
20040507,8.913,254.803,445.092,4.428,485.7424167,-9999,392.386,38.6988,79.5876,-3.08688,1,2.81901,5.90729
20040508,9.964,237.924,446.993,5.063,485.4419167,218.579375,390.78,36.4107,66.4137,-3.04537,1,2.95122,5.99659
20040509,12.039,329.209,448.855,7.619,656.1899167,121.6458333,385.83,41.4026,97.7511,-2.65101,1,3.21537,5.86988
20040510,11.601,162.66,450.679,5.04,339.9884167,298.889375,385.74,32.806,28.1746,-2.93117,1,3.17402,6.16228
20040511,12.932,206.814,452.465,5.047,417.6970833,311.0995833,386.55,30.8489,45.1226,-2.27912,1,3.38705,5.68138
20040512,13.818,150.492,454.21,4.019,317.7495208,203.0339583,385.363,33.4556,21.509,-1.02314,0.979167,3.54788,4.60489
20040513,14.258,330.336,455.916,8.61,653.869875,172.6654167,379.534,64.059,74.4063,-2.73848,1,3.65435,6.39868
20040514,15.412,330.281,457.582,9.158,650.6400625,182.2820833,377.832,46.2604,86.1436,-2.3623,1,3.87073,6.24443
20040515,16.872,325.939,459.207,10.484,636.6460208,176.106875,372.866,45.5335,84.324,-1.94599,0.979167,4.18308,6.17171
20040516,20.535,332.671,460.792,15.411,647.0535,124.2666667,368.947,51.8554,76.7417,-1.08911,0.833333,4.83489,5.95407
20040517,17.456,312.932,462.336,8.389,630.0396458,209.9997917,374.163,43.1548,95.1714,-2.50568,0.958333,4.5125,7.04387
20040518,16.713,307.918,463.838,7.205,626.5151042,199.2577083,377.739,51.2313,87.9205,-1.92992,0.666667,4.52918,6.45866
20040519,19.437,322.143,465.299,10.106,639.7403542,190.465625,375.995,48.6609,86.8012,-0.960451,0.895833,5.07795,6.0384
20040520,18.138,320.347,466.717,7.435,645.0133125,218.0985417,378.46,43.9817,88.7727,-1.35392,0.958333,5.0007,6.35179
20040521,15.03,219.86,468.093,5.218,464.2966667,205.4702083,383.799,42.4727,45.7757,-1.50423,0.770833,4.61967,6.11924
20040522,15.245,229.567,469.426,4.269,476.5692708,227.0520833,386.067,42.4591,56.6293,-1.41914,0.4375,4.77109,6.16638
20040523,15.751,348.165,470.717,10.858,704.0483958,109.3152083,378.031,63.7027,78.0401,-1.80231,0.625,4.98187,6.80299
20040524,15.042,302.064,471.964,7.998,623.8348125,209.143125,380.51,50.8331,84.7083,-1.9218,0.583333,4.97164,6.8999
20040525,15.243,310.216,473.168,7.384,636.1519375,227.4979167,385.429,48.3747,89.8751,-2.3301,0.791667,5.12265,7.45047
20040526,15.613,326.418,474.328,9.279,665.0976042,189.9033333,392.4,53.7641,93.848,-2.22466,0.708333,5.31013,7.49048
20040527,18.043,336.379,475.444,10.097,691.7383542,149.2554167,383.803,53.0143,94.3097,-1.25707,0.833333,5.88657,7.13997
20040528,19.253,271.1,476.517,12.544,557.9168542,254.1816667,375.564,48.7945,49.2129,-1.23016,1,6.24008,7.38109
20040529,19.152,335.643,477.544,13.886,691.7933333,159.7797917,375.393,57.432,81.7319,-1.19112,1,6.13224,7.33312
20040530,17.364,218.98,478.527,7.074,467.5140417,312.5622917,385.131,51.1359,28.0971,-0.940378,0.979167,5.62254,6.57165
20040531,18.216,200.673,479.465,9.797,423.65675,255.3902128,380.459,50.6539,24.6209,-1.27497,1,5.60926,6.9397
20040601,18.565,267.659,480.359,7.457,571.439875,218.3966667,388.952,42.7011,67.2951,-1.30908,1,5.49579,6.79338
20040602,18.899,337.049,481.206,10.739,709.2803333,148.1575,382.837,59.5818,76.6015,-2.19187,1,5.34776,7.53963
20040603,17.773,352.623,482.008,11.659,736.6073125,128.208125,381.428,63.1484,82.4162,-2.71615,1,4.91948,7.6231
20040604,20.299,326.715,482.765,14.198,683.3786875,197.288125,370.347,59.3345,65.1523,-1.91946,1,5.05056,7.00096
20040605,21.765,312.081,483.476,15.323,657.4254583,169.629375,370.949,59.5781,60.3436,-1.49257,1,5.10468,6.60034
20040606,20.764,354.224,484.141,13.821,731.5028958,111.2545833,374.13,56.2509,80.3422,-1.33088,1,4.97414,6.26352
20040607,19.207,341.816,484.76,10.771,715.4553333,206.3558333,382.585,60.4029,83.0688,-2.6996,0.916667,4.76459,7.4611
20040608,19.826,341.673,485.333,13.06,713.9380625,135.5114583,381.214,53.1291,76.4292,-1.45009,0.9375,4.87587,6.35919
20040609,20.967,356.244,485.859,14.818,736.8493125,107.4875,377.423,57.9624,83.6453,-1.45583,0.895833,5.06425,6.48468
20040610,20.194,352.254,486.339,12.369,733.9055417,118.0952083,378.487,57.4888,87.6039,-2.12892,0.854167,4.96904,7.12625
20040611,19.478,236.465,486.772,6.928,506.1478333,297.5652083,381.977,47.0754,43.5619,-1.7734,0.5625,4.8807,6.66549
20040612,23.397,333.194,487.158,15.255,708.3584792,172.4810417,368.495,65.0792,54.7468,-1.58717,0.770833,5.49123,7.04539
20040613,19.147,360.078,487.498,14.061,757.4537917,115.5304167,377.168,71.3209,69.6337,-4.01881,0.895833,4.86884,8.90019
20040614,18.835,344.561,487.792,12.097,675.5650833,155.6364583,378.695,64.8428,57.5268,-3.71894,0.979167,4.84034,8.42042
20040615,18.692,318.268,488.038,8.249,621.5377917,241.2060417,382.999,66.9989,56.0188,-3.55433,0.9375,4.83792,8.42282
20040616,22.818,342.255,488.238,15.385,664.4618125,202.7614583,371.601,76.5999,29.9197,-2.30335,1,5.48815,7.78779
20040617,24.203,393.337,488.39,20.769,744.8822708,99.065,364.647,82.9136,42.9067,-1.89033,1,5.7209,7.59836
20040618,25.05,393.089,488.496,22.278,749.8536667,92.7795122,365.898,92.1324,38.205,-1.94559,1,5.83302,7.88591
20040619,19.254,179.399,488.555,11.07,354.3012083,238.8201304,375.432,61.1563,-3.7847,-2.51588,1,4.72074,7.23646
20040620,17.394,312.758,488.567,10.816,601.0175625,272.3831875,381.347,70.6194,43.4303,-5.33751,1,4.06417,9.40167
20040621,17.16,347.839,488.533,8.118,677.9714792,213.3383958,383.001,66.3832,81.2752,-5.28371,0.979167,3.86357,9.19178
20040622,16.941,70.136,488.451,0.607,151.7419375,136.6574792,401.941,11.9945,-0.237337,1.06359,1,3.87485,2.81126
20040623,20.203,230.926,488.322,6.624,462.0795625,293.2511875,382.342,42.4796,36.9765,-1.09863,0.895833,4.34293,5.44863
20040624,20.907,179.507,488.147,12.226,358.189625,281.2819792,373.627,45.8389,8.68188,-1.45474,0.854167,4.48029,5.93441
20040625,22.545,383.261,487.925,14.2,741.8896875,137.2855,371.782,64.5337,72.4528,-2.73749,0.979167,4.74432,7.46789
20040626,23.002,374.938,487.657,14.131,730.185625,142.7243333,374.192,61.3141,76.0115,-2.30352,1,4.85363,7.17192
20040627,23.738,364.267,487.343,10.651,706.5770833,191.1141458,375.386,55.676,81.3442,-2.39791,0.770833,5.00195,7.48724
20040628,26.601,344.166,486.982,17.038,664.1147917,281.4443125,365.384,54.0328,63.3638,-1.48312,0.75,5.44305,6.92521
20040629,26.087,372.025,486.574,22.156,701.5145833,151.9706042,357.379,55.2701,68.2008,-1.06647,0.854167,5.42604,6.44561
20040630,24.002,384.146,486.121,19.316,732.9834583,121.1506042,367.676,59.741,78.9457,-1.73055,0.916667,5.16715,6.89455
20040701,23.93,346.082,485.622,18.939,675.0510625,269.6566875,365.062,57.3296,66.4533,-1.9434,0.979167,4.93634,6.87031
20040702,20.636,380.657,485.076,14.705,735.7100833,131.1615833,372.438,53.6576,94.9731,-2.50834,1,4.27235,6.78069
20040703,21.257,395.844,484.486,16.722,756.4078333,100.5825833,369.064,50.3421,96.9948,-2.0262,1,4.19574,6.1907
20040704,22.016,383.42,483.85,15.593,742.9787917,118.3324167,365.063,50.9927,99.486,-2.16257,1,4.13279,6.28798
20040705,21.351,256.977,483.169,7.296,508.3914255,342.4401064,373.427,32.0368,64.4419,-2.94572,0.9375,3.90001,6.84573
20040706,20.939,181.175,482.443,6.44,369.7998333,223.0806667,379.911,32.2111,17.6921,-1.01218,0.958333,3.70931,4.70023
20040707,20.168,243.976,481.672,5.617,482.1660417,215.4178125,385.553,43.6726,54.653,-1.58564,1,3.52166,5.10458
20040708,19.705,258.045,480.856,10.298,498.5752708,216.2102708,380.854,45.4796,60.0952,-1.799,1,3.37637,5.17537
20040709,18.102,327.875,479.996,11.449,633.9418333,191.0424375,382.104,39.1384,77.0917,-2.92866,1,3.11606,6.04472
20040710,19.039,263.705,479.092,12.462,506.5435,301.9780833,375.577,43.1634,66.8071,-3.13093,0.979167,3.11497,6.2459
20040711,18.875,352.044,478.145,13.346,671.2576042,180.9490625,377.627,43.0043,88.9321,-2.7229,0.979167,3.00498,5.72788
20040712,17.611,344.724,477.153,9.843,655.5015833,265.357625,381.303,36.1291,106.408,-3.50536,1,2.82388,6.32924
20040713,18.953,283.283,476.119,12.281,545.6159792,314.4754375,378.122,34.7698,69.8777,-3.10959,0.979167,3.00061,6.1102
20040714,21.846,372.801,475.042,18.446,704.2961458,151.091125,370.224,33.6816,93.4648,-1.52072,0.833333,3.35743,4.8985
20040715,23.512,368.413,473.921,18.741,707.2311458,124.7921458,364.619,32.9119,107.102,-0.611743,0.9375,3.48991,4.10165
20040716,22.023,353.999,472.759,10.485,689.7636042,185.1645208,374.215,30.7883,113.019,-1.30899,0.8125,3.258,4.56699
20040717,20.607,334.814,471.553,11.003,650.3128542,226.1635208,375.025,34.4777,93.1943,-1.39372,0.75,3.03754,4.42959
20040718,21.078,282.997,470.307,13.13,555.2123333,305.9015208,375.113,27.4647,81.1476,-2.01637,0.9375,2.99004,5.06983
20040719,22.402,317.306,469.019,12.783,607.4235417,239.1215417,373.384,29.6226,92.9788,-1.29758,0.895833,3.01403,4.31362
20040720,22.76,321.86,467.69,10.483,618.244875,222.4312292,373.236,22.4865,98.8084,-1.24945,0.875,2.95085,4.20373
20040721,21.457,169.995,466.32,5.237,331.7404375,232.3937083,376.816,14.7181,47.7757,-0.114412,0.729167,2.75306,2.9469
20040722,22.161,305.122,464.91,7.131,578.9165208,234.2894792,376.856,24.5869,95.9119,-0.662664,0.708333,2.71669,3.38864
20040723,25.985,299.633,463.459,15.36,571.9726875,254.455125,379.272,25.8038,77.687,0.188781,0.604167,2.90633,2.7277
20040724,27.065,331.102,461.968,21.576,621.9441667,234.0975625,372.931,27.9187,78.4057,0.134096,1,2.8845,2.74877
20040725,25.252,314.158,460.439,23.121,582.1240208,226.5203958,370.494,25.0605,64.3849,-0.350262,0.979167,2.64021,3.03308
20040726,23.902,328.427,458.87,19.751,628.2062917,218.4766875,372.998,23.7342,82.2112,-0.541783,0.979167,2.42914,2.97092
20040727,23.778,334.458,457.262,18.824,691.62775,128.4454792,374.363,20.3808,103.166,-0.293671,1,2.32284,2.61651
20040728,22.862,317.883,455.616,16.128,665.4675208,162.3808958,376.218,20.2456,106.301,-0.316053,1,2.21184,2.53014
20040729,23.37,288.645,453.933,13.21,641.2955833,181.9626042,387.147,25.8551,104.601,-0.531589,0.958333,2.44851,2.98039
20040730,27.136,268.693,452.211,20.82,541.1698958,239.1527292,381.512,20.3645,72.228,0.580485,1,2.96496,2.38698
20040731,26.625,304.286,450.453,19.778,608.2013333,187.6589375,385.479,21.0124,99.0288,0.616273,0.979167,3.18977,2.5751
20040801,26.753,293.974,448.658,20.2,587.69,196.1407917,390.507,21.0855,94.2152,0.8342,1,3.46554,2.63518
